"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.305","","01/01/2013","12/31/2013"
"AL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.587","","01/01/2013","12/31/2013"
"AR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.516","","01/01/2013","12/31/2013"
"AS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.561","","01/01/2013","12/31/2013"
"CA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.475","","01/01/2013","12/31/2013"
"CO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.440","","01/01/2013","12/31/2013"
"CT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.483","","01/01/2013","12/31/2013"
"DC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.539","","01/01/2013","12/31/2013"
"DE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.528","","01/01/2013","12/31/2013"
"FL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.549","","01/01/2013","12/31/2013"
"GA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.715","","01/01/2013","12/31/2013"
"GU","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","","01/01/2013","12/31/2013"
"HI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.223","","01/01/2013","12/31/2013"
"IA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.539","","01/01/2013","12/31/2013"
"ID","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.306","","01/01/2013","12/31/2013"
"IL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.442","","01/01/2013","12/31/2013"
"IN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.631","","01/01/2013","12/31/2013"
"KS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.390","","01/01/2013","12/31/2013"
"KY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.566","","01/01/2013","12/31/2013"
"LA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.676","","01/01/2013","12/31/2013"
"MA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.405","","01/01/2013","12/31/2013"
"MD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.474","","01/01/2013","12/31/2013"
"ME","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.678","","01/01/2013","12/31/2013"
"MI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.418","","01/01/2013","12/31/2013"
"MN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.381","","01/01/2013","12/31/2013"
"MO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.420","","01/01/2013","12/31/2013"
"MP","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"MS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.752","","01/01/2013","12/31/2013"
"MT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.730","","01/01/2013","12/31/2013"
"NC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.508","","01/01/2013","12/31/2013"
"ND","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.366","","01/01/2013","12/31/2013"
"NE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.539","","01/01/2013","12/31/2013"
"NH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.312","","01/01/2013","12/31/2013"
"NJ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.607","","01/01/2013","12/31/2013"
"NM","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.430","","01/01/2013","12/31/2013"
"NV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.563","","01/01/2013","12/31/2013"
"NY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.461","","01/01/2013","12/31/2013"
"OH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.408","","01/01/2013","12/31/2013"
"OK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.416","","01/01/2013","12/31/2013"
"OR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.275","","01/01/2013","12/31/2013"
"PA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.466","","01/01/2013","12/31/2013"
"PR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.790","","01/01/2013","12/31/2013"
"RI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.494","","01/01/2013","12/31/2013"
"SC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.538","","01/01/2013","12/31/2013"
"SD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.187","","01/01/2013","12/31/2013"
"TN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.508","","01/01/2013","12/31/2013"
"TX","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.535","","01/01/2013","12/31/2013"
"UT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.657","","01/01/2013","12/31/2013"
"VA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.479","","01/01/2013","12/31/2013"
"VI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","2.642","","01/01/2013","12/31/2013"
"VT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.224","","01/01/2013","12/31/2013"
"WA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.452","","01/01/2013","12/31/2013"
"WI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.461","","01/01/2013","12/31/2013"
"WV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.398","","01/01/2013","12/31/2013"
"WY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.661","","01/01/2013","12/31/2013"
"AK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.634","","01/01/2013","12/31/2013"
"AL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.665","","01/01/2013","12/31/2013"
"AR","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.611","","01/01/2013","12/31/2013"
"AS","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2013","12/31/2013"
"AZ","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.640","","01/01/2013","12/31/2013"
"CA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.506","","01/01/2013","12/31/2013"
"CO","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.528","","01/01/2013","12/31/2013"
"CT","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.588","","01/01/2013","12/31/2013"
"DC","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.667","","01/01/2013","12/31/2013"
"DE","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.753","","01/01/2013","12/31/2013"
"FL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.587","","01/01/2013","12/31/2013"
"GA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.782","","01/01/2013","12/31/2013"
"GU","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","6.305","","01/01/2013","12/31/2013"
"HI","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.365","","01/01/2013","12/31/2013"
"IA","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.671","","01/01/2013","12/31/2013"
"ID","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.480","","01/01/2013","12/31/2013"
"IL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.492","","01/01/2013","12/31/2013"
