"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure Name","Measure ID","Compared to National","Denominator","Payment","Lower Estimate","Higher Estimate","Footnote","Measure Start Date","Measure End Date"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","3347938701","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","642","21423","20362","22606","","07/01/2010","06/30/2013"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","2565938310","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","40","20614","17854","23776","","07/01/2010","06/30/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","LAUDERDALE","2567688400","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","290","20297","18894","21837","","07/01/2010","06/30/2013"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","3344933541","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","3343353374","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","234","21477","19815","23264","","07/01/2010","06/30/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DE KALB","2568453150","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","107","19101","17234","21243","","07/01/2010","06/30/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","SHELBY","2056208100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","210","20919","19284","22792","","07/01/2010","06/30/2013"
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Payment for heart attack patients","PAYM_30_AMI","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2010","06/30/2013"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","COLBERT","2563864556","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","45","20553","17890","23519","","07/01/2010","06/30/2013"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","DALE","3347742601","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","35960","CHEROKEE","2569275531","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","283","20589","19071","22173","","07/01/2010","06/30/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","243","22804","21048","24695","","07/01/2010","06/30/2013"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL","36801","LEE","3347493411","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","263","21642","19971","23267","","07/01/2010","06/30/2013"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","WEDOWEE","AL","36278","RANDOLPH","2563572111","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","07/01/2010","06/30/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","242","21149","19548","22870","","07/01/2010","06/30/2013"
