"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"AK","Acute myocardial infarction, discharged alive w/o CC/MCC","46","","10/01/2013","09/30/2014"
"AL","Acute myocardial infarction, discharged alive w/o CC/MCC","582","","10/01/2013","09/30/2014"
"AR","Acute myocardial infarction, discharged alive w/o CC/MCC","354","","10/01/2013","09/30/2014"
"AS","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"AZ","Acute myocardial infarction, discharged alive w/o CC/MCC","405","","10/01/2013","09/30/2014"
"CA","Acute myocardial infarction, discharged alive w/o CC/MCC","1886","","10/01/2013","09/30/2014"
"CO","Acute myocardial infarction, discharged alive w/o CC/MCC","203","","10/01/2013","09/30/2014"
"CT","Acute myocardial infarction, discharged alive w/o CC/MCC","357","","10/01/2013","09/30/2014"
"DC","Acute myocardial infarction, discharged alive w/o CC/MCC","123","","10/01/2013","09/30/2014"
"DE","Acute myocardial infarction, discharged alive w/o CC/MCC","98","","10/01/2013","09/30/2014"
"FL","Acute myocardial infarction, discharged alive w/o CC/MCC","2022","","10/01/2013","09/30/2014"
"GA","Acute myocardial infarction, discharged alive w/o CC/MCC","712","","10/01/2013","09/30/2014"
"GU","Acute myocardial infarction, discharged alive w/o CC/MCC","27","","10/01/2013","09/30/2014"
"HI","Acute myocardial infarction, discharged alive w/o CC/MCC","109","","10/01/2013","09/30/2014"
"IA","Acute myocardial infarction, discharged alive w/o CC/MCC","319","","10/01/2013","09/30/2014"
"ID","Acute myocardial infarction, discharged alive w/o CC/MCC","95","","10/01/2013","09/30/2014"
"IL","Acute myocardial infarction, discharged alive w/o CC/MCC","1062","","10/01/2013","09/30/2014"
"IN","Acute myocardial infarction, discharged alive w/o CC/MCC","711","","10/01/2013","09/30/2014"
"KS","Acute myocardial infarction, discharged alive w/o CC/MCC","232","","10/01/2013","09/30/2014"
"KY","Acute myocardial infarction, discharged alive w/o CC/MCC","661","","10/01/2013","09/30/2014"
"LA","Acute myocardial infarction, discharged alive w/o CC/MCC","432","","10/01/2013","09/30/2014"
"MA","Acute myocardial infarction, discharged alive w/o CC/MCC","822","","10/01/2013","09/30/2014"
"MD","Acute myocardial infarction, discharged alive w/o CC/MCC","768","","10/01/2013","09/30/2014"
"ME","Acute myocardial infarction, discharged alive w/o CC/MCC","354","","10/01/2013","09/30/2014"
"MI","Acute myocardial infarction, discharged alive w/o CC/MCC","1152","","10/01/2013","09/30/2014"
"MN","Acute myocardial infarction, discharged alive w/o CC/MCC","424","","10/01/2013","09/30/2014"
"MO","Acute myocardial infarction, discharged alive w/o CC/MCC","563","","10/01/2013","09/30/2014"
"MP","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2013","09/30/2014"
"MS","Acute myocardial infarction, discharged alive w/o CC/MCC","406","","10/01/2013","09/30/2014"
"MT","Acute myocardial infarction, discharged alive w/o CC/MCC","82","","10/01/2013","09/30/2014"
"NC","Acute myocardial infarction, discharged alive w/o CC/MCC","1107","","10/01/2013","09/30/2014"
"ND","Acute myocardial infarction, discharged alive w/o CC/MCC","70","","10/01/2013","09/30/2014"
"NE","Acute myocardial infarction, discharged alive w/o CC/MCC","177","","10/01/2013","09/30/2014"
"NH","Acute myocardial infarction, discharged alive w/o CC/MCC","163","","10/01/2013","09/30/2014"
"NJ","Acute myocardial infarction, discharged alive w/o CC/MCC","1289","","10/01/2013","09/30/2014"
"NM","Acute myocardial infarction, discharged alive w/o CC/MCC","154","","10/01/2013","09/30/2014"
"NV","Acute myocardial infarction, discharged alive w/o CC/MCC","182","","10/01/2013","09/30/2014"
