Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"380022","SAMARITAN ALBANY GENERAL HOSPITAL","1046 6TH AVENUE SW","Albany","OR","97321","LINN","0.85648","8 out of 10","0 out of 9","8 out of 10"
"410010","WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND","101 DUDLEY STREET","Providence","RI","02905","PROVIDENCE","0.98855","0 out of 10","1 out of 9","1 out of 10"
"150045","DEKALB HEALTH","1316 E SEVENTH ST","Auburn","IN","46706","DE KALB","0.95898","2 out of 10","3 out of 9","3 out of 10"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","Asheboro","NC","27203","RANDOLPH","0.96064","2 out of 10","2 out of 9","2 out of 10"
"280081","ALEGENT CREIGHTON HEALTH IMMANUEL MEDICAL CENTER","6901 NORTH 72ND ST","Omaha","NE","68122","DOUGLAS","1.03063","0 out of 10","0 out of 9","0 out of 10"
"500033","SAMARITAN HOSPITAL","801 EAST WHEELER ROAD","Moses Lake","WA","98837","GRANT","0.92084","4 out of 10","0 out of 9","4 out of 10"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","Newark","NJ","07112","ESSEX","1.06180","0 out of 10","0 out of 9","0 out of 10"
"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","Hartford","CT","06102","HARTFORD","0.98996","0 out of 10","0 out of 9","0 out of 10"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","Fayetteville","AR","72703","WASHINGTON","1.01870","0 out of 10","0 out of 9","0 out of 10"
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","Derry","NH","03038","ROCKINGHAM","0.99500","0 out of 10","3 out of 9","3 out of 10"
"050434","COLUSA REGIONAL MEDICAL CENTER","199 EAST WEBSTER ST","Colusa","CA","95932","COLUSA","0.90223","5 out of 10","0 out of 9","5 out of 10"
"450155","HEREFORD REGIONAL MEDICAL CENTER","801 EAST THIRD","Hereford","TX","79045","DEAF SMITH","0.90129","5 out of 10","6 out of 9","6 out of 10"
"500084","VALLEY GENERAL HOSPITAL","14701 179TH SE","Monroe","WA","98272","SNOHOMISH","0.91809","4 out of 10","0 out of 9","4 out of 10"
"390044","READING HOSPITAL","SIXTH AVENUE AND SPRUCE ST","West Reading","PA","19611","BERKS","1.03734","0 out of 10","0 out of 9","0 out of 10"
"110016","WEST GEORGIA MEDICAL CENTER","1514 VERNON ROAD","Lagrange","GA","30240","TROUP","0.93958","3 out of 10","0 out of 9","3 out of 10"
"430091","BLACK HILLS SURGICAL HOSPITAL LLP","216 ANAMARIA DR","Rapid City","SD","57701","PENNINGTON","0.89718","6 out of 10","0 out of 9","6 out of 10"
"080009","BAYHEALTH - MILFORD MEMORIAL HOSPITAL","21 WEST CLARKE AVENUE","Milford","DE","19963","SUSSEX","0.96987","1 out of 10","0 out of 9","1 out of 10"
"330332","ST JOSEPH HOSPITAL","4295 HEMPSTEAD TURNPIKE","Bethpage","NY","11714","NASSAU","1.08812","0 out of 10","1 out of 9","1 out of 10"
"330268","COBLESKILL REGIONAL HOSPITAL","178 GRANDVIEW DRIVE","Cobleskill","NY","12043","SCHOHARIE","0.88300","6 out of 10","0 out of 9","6 out of 10"
"380047","ST CHARLES MEDICAL CENTER - BEND","2500 NE NEFF ROAD","Bend","OR","97701","DESCHUTES","0.93566","3 out of 10","0 out of 9","3 out of 10"
"390119","MOSES TAYLOR HOSPITAL","700 QUINCY AVENUE","Scranton","PA","18510","LACKAWANNA","1.15886","0 out of 10","0 out of 9","0 out of 10"
"230277","HURON VALLEY-SINAI HOSPITAL","ONE WILLIAM CARLS DRIVE","Commerce","MI","48382","OAKLAND","0.95915","2 out of 10","2 out of 9","2 out of 10"
"240076","BUFFALO HOSPITAL","303 CATLIN ST","Buffalo","MN","55313","WRIGHT","0.93118","4 out of 10","0 out of 9","4 out of 10"
"440053","SAINT THOMAS RUTHERFORD HOSPITAL","1700 MEDICAL CENTER PARKWAY","Murfreesboro","TN","37129","RUTHERFORD","0.98667","0 out of 10","0 out of 9","0 out of 10"
"230100","TAWAS ST JOSEPH HOSPITAL","200 HEMLOCK","Tawas City","MI","48764","IOSCO","0.88502","6 out of 10","3 out of 9","6 out of 10"
"240207","FAIRVIEW RIDGES HOSPITAL","201 EAST NICOLLET BOULEVARD","Burnsville","MN","55337","DAKOTA","0.89077","6 out of 10","4 out of 9","6 out of 10"
"520095","SAUK PRAIRIE HOSPITAL","260 26TH STREET","Prairie Du Sac","WI","53578","SAUK","0.86628","7 out of 10","0 out of 9","7 out of 10"
"450851","BAYLOR HEART AND VASCULAR HOSPITAL","621 NORTH HALL STREET","Dallas","TX","75226","DALLAS","0.99596","0 out of 10","0 out of 9","0 out of 10"
"170109","MIAMI COUNTY MEDICAL CENTER","2100 BAPTISTE DRIVE","Paola","KS","66071","MIAMI","0.93318","3 out of 10","6 out of 9","6 out of 10"
"490037","RIVERSIDE SHORE MEMORIAL HOSPITAL","9507 HOSPITAL AVENUE","Nassawadox","VA","23413","NORTHAMPTON","0.94477","3 out of 10","0 out of 9","3 out of 10"
"490048","LEWISGALE MEDICAL CENTER","1900 ELECTRIC ROAD","Salem","VA","24153","SALEM CITY","0.99509","0 out of 10","1 out of 9","1 out of 10"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","Riverhead","NY","11901","SUFFOLK","0.98616","0 out of 10","0 out of 9","0 out of 10"
"230004","MERCY HEALTH PARTNERS, MERCY CAMPUS","1500 E SHERMAN BOULEVARD","Muskegon","MI","49443","MUSKEGON","0.95286","2 out of 10","1 out of 9","2 out of 10"
"070027","MANCHESTER MEMORIAL HOSPITAL","71 HAYNES ST","Manchester","CT","06040","HARTFORD","0.98153","1 out of 10","3 out of 9","3 out of 10"
"360170","BERGER HOSPITAL","600 NORTH PICKAWAY STREET","Circleville","OH","43113","PICKAWAY","0.98559","0 out of 10","1 out of 9","1 out of 10"
"160005","ST ANTHONY REGIONAL HOSPITAL & NURSING HOME","311 SOUTH CLARK STREET","Carroll","IA","51401","CARROLL","0.91901","4 out of 10","3 out of 9","4 out of 10"
"390133","LEHIGH VALLEY HOSPITAL","1200 SOUTH CEDAR CREST BOULVARD","Allentown","PA","18105","LEHIGH","0.98977","0 out of 10","0 out of 9","0 out of 10"
"470001","CENTRAL VERMONT MEDICAL CENTER","BOX 547","Barre","VT","05641","WASHINGTON","0.97576","1 out of 10","0 out of 9","1 out of 10"
"360070","MERCY MEDICAL CENTER","1320 MERCY DRIVE NW","Canton","OH","44708","STARK","1.05553","0 out of 10","0 out of 9","0 out of 10"
"160122","FORT MADISON COMMUNITY HOSPITAL","5445 AVE O","Fort Madison","IA","52627","LEE","0.82680","10 out of 10","0 out of 9","10 out of 10"
"390162","EASTON HOSPITAL","250 SOUTH 21ST STREET","Easton","PA","18042","NORTHAMPTON","1.01490","0 out of 10","0 out of 9","0 out of 10"
"050503","SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","354 SANTA FE DRIVE","Encinitas","CA","92024","SAN DIEGO","0.99661","0 out of 10","1 out of 9","1 out of 10"
"230070","COVENANT MEDICAL CENTER, INC","1447 N HARRISON","Saginaw","MI","48602","SAGINAW","0.97445","1 out of 10","0 out of 9","1 out of 10"
"050296","HAZEL HAWKINS MEMORIAL HOSPITAL","911 SUNSET DRIVE","Hollister","CA","95023","SAN BENITO","0.94775","3 out of 10","0 out of 9","3 out of 10"
"180078","PAUL B HALL REGIONAL MEDICAL CENTER","625 JAMES S TRIMBLE BOULEVARD","Paintsville","KY","41240","JOHNSON","0.92208","4 out of 10","1 out of 9","4 out of 10"
"140115","THOREK MEMORIAL HOSPITAL","850 W IRVING PARK RD","Chicago","IL","60613","COOK","1.04066","0 out of 10","1 out of 9","1 out of 10"
"190164","BYRD REGIONAL HOSPITAL","1020 FERTITTA BLVD","Leesville","LA","71446","VERNON","1.06812","0 out of 10","1 out of 9","1 out of 10"
"670056","SETON MEDICAL CENTER HAYS","6001 KYLE PKWY","Kyle","TX","78640","HAYS","1.03198","0 out of 10","1 out of 9","1 out of 10"
"100090","FLAGLER HOSPITAL","400 HEALTH PARK BLVD","Saint Augustine","FL","32086","ST. JOHNS","1.01951","0 out of 10","1 out of 9","1 out of 10"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","Oro Valley","AZ","85755","PIMA","0.92794","4 out of 10","1 out of 9","4 out of 10"
"370001","HILLCREST MEDICAL CENTER","1120 SOUTH UTICA AVENUE","Tulsa","OK","74104","TULSA","0.98413","1 out of 10","0 out of 9","1 out of 10"
"140211","DELNOR COMMUNITY HOSPITAL","300 RANDALL RD","Geneva","IL","60134","KANE","1.02432","0 out of 10","0 out of 9","0 out of 10"
"340186","VIDANT BEAUFORT HOSPITAL","628 E 12TH ST","Washington","NC","27889","BEAUFORT","0.95848","2 out of 10","0 out of 9","2 out of 10"
"140127","ADVOCATE BROMENN MEDICAL CENTER","1304 FRANKLIN AVENUE","Normal","IL","61761","MCLEAN","0.95908","2 out of 10","0 out of 9","2 out of 10"
"100054","TWIN CITIES HOSPITAL","2190 HWY 85 N","Niceville","FL","32578","OKALOOSA","0.95713","2 out of 10","0 out of 9","2 out of 10"
"320004","GERALD CHAMPION REGIONAL MEDICAL CENTER","2669 NORTH SCENIC DRIVE","Alamogordo","NM","88310","OTERO","0.88140","6 out of 10","5 out of 9","6 out of 10"
"050197","SEQUOIA HOSPITAL","170 ALAMEDA DE LAS PULGAS","Redwood City","CA","94062","SAN MATEO","0.92681","4 out of 10","2 out of 9","4 out of 10"
