Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","Dothan","AL","36301","HOUSTON","0.87539","10 out of 10","9 out of 9","10 out of 10","0.87142","0 out of 10","0 out of 9","0 out of 10","0.88443","1 out of 10","0 out of 9","1 out of 10","0.43430","10 out of 10","9 out of 9","10 out of 10","1.796","0 out of 10","0 out of 9","0 out of 10"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","Boaz","AL","35957","MARSHALL","0.83877","Not Available","Not Available","Not Available","0.86800","0 out of 10","3 out of 9","3 out of 10","0.88024","0 out of 10","3 out of 9","3 out of 10","0.47282","8 out of 10","7 out of 9","8 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","Florence","AL","35631","LAUDERDALE","0.83211","0 out of 10","1 out of 9","1 out of 10","0.82823","0 out of 10","0 out of 9","0 out of 10","0.88844","3 out of 10","6 out of 9","6 out of 10","0.48289","8 out of 10","9 out of 9","9 out of 10","0.351","2 out of 10","2 out of 9","2 out of 10"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","Opp","AL","36467","COVINGTON","0.85562","Not Available","Not Available","Not Available","0.86979","0 out of 10","0 out of 9","0 out of 10","0.88125","0 out of 10","6 out of 9","6 out of 10","0.46908","8 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","Luverne","AL","36049","CRENSHAW","0.85720","Not Available","Not Available","Not Available","0.87755","Not Available","Not Available","Not Available","0.88830","Not Available","Not Available","Not Available","0.49993","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","Birmingham","AL","35235","JEFFERSON","0.86100","9 out of 10","9 out of 9","9 out of 10","0.86661","0 out of 10","0 out of 9","0 out of 10","0.85741","0 out of 10","4 out of 9","4 out of 10","0.42630","10 out of 10","9 out of 9","10 out of 10","0.900","0 out of 10","0 out of 9","0 out of 10"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","Fort Payne","AL","35968","DE KALB","0.81096","0 out of 10","Not Available","0 out of 10","0.88535","2 out of 10","3 out of 9","3 out of 10","0.81350","0 out of 10","0 out of 9","0 out of 10","0.58325","2 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","Alabaster","AL","35007","SHELBY","0.86749","10 out of 10","9 out of 9","10 out of 10","0.87022","0 out of 10","0 out of 9","0 out of 10","0.87876","0 out of 10","3 out of 9","3 out of 10","0.38462","10 out of 10","9 out of 9","10 out of 10","0.224","5 out of 10","0 out of 9","5 out of 10"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","Sheffield","AL","35660","COLBERT","0.84204","Not Available","Not Available","Not Available","0.86637","0 out of 10","0 out of 9","0 out of 10","0.87129","0 out of 10","0 out of 9","0 out of 10","0.36866","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","Ozark","AL","36360","DALE","0.85772","Not Available","Not Available","Not Available","0.89176","5 out of 10","Not Available","5 out of 10","0.89042","4 out of 10","4 out of 9","4 out of 10","0.53001","5 out of 10","4 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","Centre","AL","35960","CHEROKEE","Not Available","Not Available","Not Available","Not Available","0.86056","Not Available","Not Available","Not Available","0.90155","8 out of 10","8 out of 9","8 out of 10","0.49532","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","Montgomery","AL","36116","MONTGOMERY","0.86017","8 out of 10","7 out of 9","8 out of 10","0.85577","0 out of 10","0 out of 9","0 out of 10","0.88104","0 out of 10","5 out of 9","5 out of 10","0.42203","10 out of 10","9 out of 9","10 out of 10","0.433","1 out of 10","4 out of 9","4 out of 10"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","Montgomery","AL","36106","MONTGOMERY","0.85028","2 out of 10","6 out of 9","6 out of 10","0.89056","5 out of 10","0 out of 9","5 out of 10","0.88448","1 out of 10","6 out of 9","6 out of 10","0.38542","10 out of 10","9 out of 9","10 out of 10","0.627","0 out of 10","2 out of 9","2 out of 10"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","Opelika","AL","36801","LEE","0.85549","5 out of 10","7 out of 9","7 out of 10","0.86564","0 out of 10","0 out of 9","0 out of 10","0.87576","0 out of 10","0 out of 9","0 out of 10","0.54326","4 out of 10","2 out of 9","4 out of 10","0.949","0 out of 10","0 out of 9","0 out of 10"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","Wedowee","AL","36278","RANDOLPH","0.85524","Not Available","Not Available","Not Available","0.88612","Not Available","Not Available","Not Available","0.88884","3 out of 10","6 out of 9","6 out of 10","0.49436","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
